Training data for 10*20 table, 22 basis functions 
---------------------------

gen.#0 	meanS: 91.0699 	  avgScore:0
gen.#1 	meanS: 78.7529 	  avgScore:1
gen.#2 	meanS: 63.3428 	  avgScore:4
gen.#3 	meanS: 51.4886 	  avgScore:11
gen.#4 	meanS: 41.7069 	  avgScore:18
gen.#5 	meanS: 32.1823 	  avgScore:23
gen.#6 	meanS: 26.8838 	  avgScore:34
gen.#7 	meanS: 26.8783 	  avgScore:44
gen.#8 	meanS: 26.4022 	  avgScore:50
gen.#9 	meanS: 25.8648 	  avgScore:59
gen.#10 	meanS: 27.1043 	  avgScore:67
gen.#11 	meanS: 21.5679 	  avgScore:68
gen.#12 	meanS: 18.4683 	  avgScore:76
gen.#13 	meanS: 19.0322 	  avgScore:82
gen.#14 	meanS: 18.0694 	  avgScore:83
gen.#15 	meanS: 19.2253 	  avgScore:85
gen.#16 	meanS: 18.5378 	  avgScore:89
gen.#17 	meanS: 15.4778 	  avgScore:88
gen.#18 	meanS: 14.7955 	  avgScore:97
gen.#19 	meanS: 13.7889 	  avgScore:100
gen.#20 	meanS: 12.5792 	  avgScore:100
gen.#21 	meanS:  9.9895 	  avgScore:105
gen.#22 	meanS:  8.7539 	  avgScore:108
gen.#23 	meanS: 10.9962 	  avgScore:111
gen.#24 	meanS:  8.0101 	  avgScore:112
gen.#25 	meanS:  8.5684 	  avgScore:113
gen.#26 	meanS:  6.6025 	  avgScore:111
gen.#27 	meanS:  8.2063 	  avgScore:117
gen.#28 	meanS:  8.9443 	  avgScore:121
gen.#29 	meanS: 17.4187 	  avgScore:120
gen.#30 	meanS: 14.6068 	  avgScore:112
gen.#31 	meanS: 13.8150 	  avgScore:114
gen.#32 	meanS: 11.7587 	  avgScore:117
gen.#33 	meanS: 10.0216 	  avgScore:122
gen.#34 	meanS: 10.5487 	  avgScore:120
gen.#35 	meanS:  8.9568 	  avgScore:123
gen.#36 	meanS:  7.2563 	  avgScore:124
gen.#37 	meanS:  5.9922 	  avgScore:124
gen.#38 	meanS:  5.3919 	  avgScore:129
gen.#39 	meanS:  4.7452 	  avgScore:129
gen.#40 	meanS:  7.9487 	  avgScore:127
gen.#41 	meanS:  7.8106 	  avgScore:126
gen.#42 	meanS:  6.9634 	  avgScore:126
gen.#43 	meanS: 10.3712 	  avgScore:132
gen.#44 	meanS: 16.3675 	  avgScore:128
gen.#45 	meanS: 15.4256 	  avgScore:128
gen.#46 	meanS: 12.6721 	  avgScore:126
gen.#47 	meanS: 10.8993 	  avgScore:131
gen.#48 	meanS: 10.0180 	  avgScore:130
gen.#49 	meanS:  9.9558 	  avgScore:131
