Training data for 10*20 table, 22 basis functions 
---------------------------

gen.#0 	meanS:103.7759 	  avgScore:0
gen.#1 	meanS: 77.9521 	  avgScore:2
gen.#2 	meanS: 61.2492 	  avgScore:6
gen.#3 	meanS: 48.8044 	  avgScore:11
gen.#4 	meanS: 39.2678 	  avgScore:20
gen.#5 	meanS: 36.9726 	  avgScore:24
gen.#6 	meanS: 32.0922 	  avgScore:29
gen.#7 	meanS: 30.0441 	  avgScore:36
gen.#8 	meanS: 25.5157 	  avgScore:44
gen.#9 	meanS: 22.1022 	  avgScore:52
gen.#10 	meanS: 16.5962 	  avgScore:59
gen.#11 	meanS: 15.5467 	  avgScore:70
gen.#12 	meanS: 13.7411 	  avgScore:73
gen.#13 	meanS: 11.0214 	  avgScore:76
gen.#14 	meanS: 12.7444 	  avgScore:79
gen.#15 	meanS: 11.7642 	  avgScore:81
gen.#16 	meanS: 11.4373 	  avgScore:84
gen.#17 	meanS: 10.3435 	  avgScore:87
gen.#18 	meanS:  9.1003 	  avgScore:91
gen.#19 	meanS:  8.9628 	  avgScore:92
gen.#20 	meanS:  8.1538 	  avgScore:96
gen.#21 	meanS:  8.2102 	  avgScore:101
gen.#22 	meanS:  7.5899 	  avgScore:102
gen.#23 	meanS:  5.5123 	  avgScore:104
gen.#24 	meanS:  6.1629 	  avgScore:105
gen.#25 	meanS:  5.0131 	  avgScore:106
gen.#26 	meanS:  4.1241 	  avgScore:105
gen.#27 	meanS:  3.6127 	  avgScore:108
gen.#28 	meanS:  3.1122 	  avgScore:107
gen.#29 	meanS:  2.6164 	  avgScore:108
gen.#30 	meanS:  2.5850 	  avgScore:110
gen.#31 	meanS:  2.2069 	  avgScore:115
gen.#32 	meanS:  1.9056 	  avgScore:113
gen.#33 	meanS:  1.7303 	  avgScore:116
gen.#34 	meanS:  1.6428 	  avgScore:115
gen.#35 	meanS:  1.3091 	  avgScore:115
gen.#36 	meanS:  1.1611 	  avgScore:114
gen.#37 	meanS:  1.0866 	  avgScore:119
gen.#38 	meanS:  1.1016 	  avgScore:119
gen.#39 	meanS:  1.0790 	  avgScore:119
gen.#40 	meanS:  0.9601 	  avgScore:117
gen.#41 	meanS:  1.0073 	  avgScore:119
gen.#42 	meanS:  2.1758 	  avgScore:117
gen.#43 	meanS:  1.8581 	  avgScore:115
gen.#44 	meanS:  2.0879 	  avgScore:119
gen.#45 	meanS:  2.0144 	  avgScore:119
gen.#46 	meanS:  2.0453 	  avgScore:122
gen.#47 	meanS:  2.1368 	  avgScore:118
gen.#48 	meanS:  1.6930 	  avgScore:117
gen.#49 	meanS:  1.7531 	  avgScore:121
