Training data for 10*20 table, 29 basis functions 
---------------------------

gen.#0 	meanS: 87.1936 	  avgScore:0
gen.#1 	meanS: 87.8950 	  avgScore:3
gen.#2 	meanS: 65.6535 	  avgScore:12
gen.#3 	meanS: 55.8636 	  avgScore:22
gen.#4 	meanS: 50.7285 	  avgScore:34
gen.#5 	meanS: 46.3516 	  avgScore:43
gen.#6 	meanS: 41.8054 	  avgScore:51
gen.#7 	meanS: 40.4010 	  avgScore:59
gen.#8 	meanS: 39.6250 	  avgScore:67
gen.#9 	meanS: 36.2094 	  avgScore:66
gen.#10 	meanS: 33.1782 	  avgScore:68
gen.#11 	meanS: 30.7304 	  avgScore:69
gen.#12 	meanS: 27.4860 	  avgScore:81
gen.#13 	meanS: 23.5830 	  avgScore:82
gen.#14 	meanS: 20.8248 	  avgScore:86
gen.#15 	meanS: 20.4395 	  avgScore:92
gen.#16 	meanS: 19.9066 	  avgScore:91
gen.#17 	meanS: 18.1430 	  avgScore:93
gen.#18 	meanS: 15.7814 	  avgScore:100
gen.#19 	meanS: 16.8450 	  avgScore:96
gen.#20 	meanS: 13.9759 	  avgScore:100
gen.#21 	meanS: 13.7716 	  avgScore:103
gen.#22 	meanS: 12.5185 	  avgScore:104
gen.#23 	meanS: 11.7683 	  avgScore:107
gen.#24 	meanS: 19.1734 	  avgScore:108
gen.#25 	meanS: 17.3971 	  avgScore:108
gen.#26 	meanS: 16.2152 	  avgScore:113
gen.#27 	meanS: 13.7832 	  avgScore:115
gen.#28 	meanS: 11.9488 	  avgScore:120
gen.#29 	meanS:  9.8633 	  avgScore:123
gen.#30 	meanS:  9.0563 	  avgScore:124
gen.#31 	meanS:  8.6244 	  avgScore:126
gen.#32 	meanS: 34.3767 	  avgScore:122
gen.#33 	meanS: 38.8723 	  avgScore:115
gen.#34 	meanS: 31.2067 	  avgScore:117
gen.#35 	meanS: 27.5660 	  avgScore:119
gen.#36 	meanS: 25.8828 	  avgScore:123
gen.#37 	meanS: 21.1727 	  avgScore:119
gen.#38 	meanS: 16.5361 	  avgScore:120
gen.#39 	meanS: 21.5085 	  avgScore:124
gen.#40 	meanS: 17.3534 	  avgScore:127
gen.#41 	meanS: 13.4372 	  avgScore:130
gen.#42 	meanS: 12.0160 	  avgScore:131
gen.#43 	meanS: 17.8090 	  avgScore:133
gen.#44 	meanS: 15.9042 	  avgScore:130
gen.#45 	meanS: 40.5802 	  avgScore:130
gen.#46 	meanS: 58.6938 	  avgScore:127
gen.#47 	meanS: 44.5658 	  avgScore:130
gen.#48 	meanS: 50.5622 	  avgScore:132
gen.#49 	meanS: 45.5036 	  avgScore:134
