Training data for 10*20 table, 119 basis functions 
---------------------------

gen.#0 	meanS: 95.4936 	  avgScore:0
gen.#1 	meanS: 92.1849 	  avgScore:1
gen.#2 	meanS: 87.1796 	  avgScore:4
gen.#3 	meanS: 82.8085 	  avgScore:9
gen.#4 	meanS: 71.2842 	  avgScore:13
gen.#5 	meanS: 71.8366 	  avgScore:18
gen.#6 	meanS: 68.0157 	  avgScore:22
gen.#7 	meanS: 63.3855 	  avgScore:30
gen.#8 	meanS: 58.0032 	  avgScore:38
gen.#9 	meanS: 51.7644 	  avgScore:42
gen.#10 	meanS: 44.8552 	  avgScore:50
gen.#11 	meanS: 41.9281 	  avgScore:54
gen.#12 	meanS: 39.5771 	  avgScore:60
gen.#13 	meanS: 35.8434 	  avgScore:63
gen.#14 	meanS: 33.4706 	  avgScore:68
gen.#15 	meanS: 30.5518 	  avgScore:71
gen.#16 	meanS: 28.7365 	  avgScore:70
gen.#17 	meanS: 25.2055 	  avgScore:74
gen.#18 	meanS: 23.2930 	  avgScore:77
gen.#19 	meanS: 23.7194 	  avgScore:81
gen.#20 	meanS: 22.7892 	  avgScore:79
gen.#21 	meanS: 21.8724 	  avgScore:86
gen.#22 	meanS: 19.2816 	  avgScore:88
gen.#23 	meanS: 18.1947 	  avgScore:89
gen.#24 	meanS: 16.6889 	  avgScore:92
gen.#25 	meanS: 14.7195 	  avgScore:97
gen.#26 	meanS: 13.4662 	  avgScore:98
gen.#27 	meanS: 12.4376 	  avgScore:99
gen.#28 	meanS: 13.0596 	  avgScore:100
gen.#29 	meanS: 13.5207 	  avgScore:100
gen.#30 	meanS: 14.8865 	  avgScore:101
gen.#31 	meanS: 13.4796 	  avgScore:103
gen.#32 	meanS: 12.3626 	  avgScore:105
gen.#33 	meanS: 10.6028 	  avgScore:103
gen.#34 	meanS:  9.4232 	  avgScore:110
gen.#35 	meanS:  8.3176 	  avgScore:106
gen.#36 	meanS:  7.8837 	  avgScore:111
gen.#37 	meanS:  6.9874 	  avgScore:111
gen.#38 	meanS:  7.4242 	  avgScore:115
gen.#39 	meanS:  6.5953 	  avgScore:112
gen.#40 	meanS:  6.2357 	  avgScore:112
gen.#41 	meanS:  6.0921 	  avgScore:112
gen.#42 	meanS:  5.7068 	  avgScore:109
gen.#43 	meanS:  5.8368 	  avgScore:113
gen.#44 	meanS:  5.6233 	  avgScore:114
gen.#45 	meanS:  5.2010 	  avgScore:116
gen.#46 	meanS:  4.9332 	  avgScore:112
gen.#47 	meanS:  4.4110 	  avgScore:116
gen.#48 	meanS:  4.3336 	  avgScore:115
gen.#49 	meanS:  4.3726 	  avgScore:115
